item_name,ingredient_name,dosage_and_unit,pharmaceutical_form,packaging,packaging_qty,company,wholesale_price,sale_price,submitted_at
ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,20,"OLAYNFARM SC, Latviya",8.28,9.94,2016-11-29
ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,30,"OLAYNFARM SC, Latviya",12.42,14.9,2016-11-29
ADAPTOL,MEBICAR,300 mq,Kapsul,Blister,40,"OLAYNFARM SC, Latviya",16.56,19.87,2016-11-29
ADAPTOL,MEBICAR,300 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",7.81,9.37,2016-11-29
ADAPTOL,MEBICAR,500 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",11.29,13.55,2018-10-06
ADEKVAN,ZOPICLONE,"7,5 mq",Tablet,Blister,10,"SİNTON BV, İspaniya",3.27,3.92,2016-11-29
ADEKVAN,ZOPICLONE,"7,5 mq",Tablet,Blister,20,"SİNTON BV, İspaniya",5.58,6.7,2016-11-29
ADELFAN-ESİDREKS,RESERPINE + DIHYDRALAZINE + HYDROCHLOROTHIAZIDE,"(0,1 + 10 + 10) mq",Tablet,Blister,250,"SANDOZ PVT LTD / PİRAMAL HELSKEA LTD, Hindistan",30.99,37.19,2016-11-29
ADEMTA,ADEMETIONINE,400 mq,Tablet,Blister,20,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",33.93,40.72,2016-11-29
ADEMTA,ADEMETIONINE,80 mq/ml,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici 5 ml,5,"MEFAR İLAÇ SAN AŞ, Türkiyə",41.58,49.9,2018-05-18
ADENOPLEKS,COCARBOXYLASE + PYRIDOXINE + CYANOCOBALAMIN + LIDOCAINE,"(38,3 + 300 + 0,5 + 10)
mq",İnyeksiya məhlulu üçün liofilizat,Ampul + Ampulda həlledici 2 ml,5,"BİOLOGİÇİ İTALİYA LABORATORİES SRL, İtaliya",23.17,27.8,2018-07-31
ADENOPROSİN,ADENOPROSIN,250 mq,Şam,Blister,10,"FARMAPRİM MMC, Moldova",15.9,19.08,2018-11-17
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,14,"MENARİNİ VON HEYDEN GMBH, Almaniya",26.28,31.54,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,14,"PATEON FRANSA, Fransa",26.28,31.54,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,28,"MENARİNİ VON HEYDEN GMBH, Almaniya",51.54,61.85,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,28,"PATEON FRANSA, Fransa",51.54,61.85,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,42,"MENARİNİ VON HEYDEN GMBH, Almaniya",76.28,90.94,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,42,"PATEON FRANSA, Fransa",76.28,90.94,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,56,"MENARİNİ VON HEYDEN GMBH, Almaniya",100.14,117.9,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,56,"PATEON FRANSA, Fransa",100.14,117.9,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,84,"MENARİNİ VON HEYDEN GMBH, Almaniya",147.23,170.79,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,84,"PATEON FRANSA, Fransa",147.23,170.79,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,98,"MENARİNİ VON HEYDEN GMBH, Almaniya",170.22,196.31,2016-11-29
ADENURİK,FEBUXOSTAT,80 mq,Tablet,Blister,98,"PATEON FRANSA, Fransa",170.22,196.31,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,14,"MENARİNİ VON HEYDEN GMBH, Almaniya",26.28,31.54,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,14,"PATEON FRANSA, Fransa",26.28,31.54,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,28,"MENARİNİ VON HEYDEN GMBH, Almaniya",51.54,61.85,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,28,"PATEON FRANSA, Fransa",51.54,61.85,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,42,"MENARİNİ VON HEYDEN GMBH, Almaniya",76.28,90.94,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,42,"PATEON FRANSA, Fransa",76.28,90.94,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,56,"MENARİNİ VON HEYDEN GMBH, Almaniya",100.14,117.9,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,56,"PATEON FRANSA, Fransa",100.14,117.9,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,84,"MENARİNİ VON HEYDEN GMBH, Almaniya",147.23,170.79,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,84,"PATEON FRANSA, Fransa",147.23,170.79,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,98,"MENARİNİ VON HEYDEN GMBH, Almaniya",170.22,196.31,2016-11-29
ADENURİK,FEBUXOSTAT,120 mq,Tablet,Blister,98,"PATEON FRANSA, Fransa",170.22,196.31,2016-11-29
ADİUPRESSİN,DESMOPRESSIN ACETATE TRIHYDRATE,"0,1 mq/ml",Burun üçün sprey,Flakon 6 ml,1,"ALFA VASSERMAN SPA, İtaliya",44.64,53.57,2016-11-29
ADOL NORMON,TRAMADOL HCL,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"LABORATORİOS NORMON SA, İspaniya",4.64,5.57,2016-11-29
ADOL NORMON,TRAMADOL HCL,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,100,"LABORATORİOS NORMON SA, İspaniya",87.32,103.42,2016-11-29
ADOLOR,KETOROLAC,15 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,3,"FARKO FARMASYUTİKALS, Misir",3.68,4.42,2016-11-29
ADONİS-BROM,ADONIS EXTRACT + POTASSIUM BROMIDE,"(69,07 + 250) mq",Tablet,Flakon,25,"BORİSOV DƏRMAN PREPARATLARI MÜƏSSİSƏSİ ASC, Belarus",0.86,1.03,2016-11-29
ADONİS-BROM,ADONIS EXTRACT + POTASSIUM BROMIDE,"(69,07 + 250) mq",Tablet,Flakon,30,"BORİSOV DƏRMAN PREPARATLARI MÜƏSSİSƏSİ ASC, Belarus",0.97,1.16,2016-11-29
ADRENALİN-DARNİTSA,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,10,"DARNİTSA ƏCZAÇILIQ ŞİRKƏTİ ÖSC, Ukrayna",2.3,2.76,2016-11-29
ADRENALİN-ZDOROVYE,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,5,"ZDOROVYE ƏCZAÇILIQ ŞİRKƏTİ MMC, Ukrayna",1.78,2.14,2016-11-29
ADRENALİN-ZDOROVYE,EPINEPHRINE,"1,8 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,10,"ZDOROVYE ƏCZAÇILIQ ŞİRKƏTİ MMC, Ukrayna",2.3,2.76,2016-11-29
ADRİBLASTİN TH,DOXORUBICIN HCL,10 mq,İnyeksiya məhlulu üçün liofilizat,Flakon + Ampulda həlledici 5 ml,1,"AKTAVİS İTALİYA SPA, İtaliya",18.74,22.49,2016-11-29
ADRİBLASTİN TH,DOXORUBICIN HCL,50 mq,İnyeksiya məhlulu üçün liofilizat,Flakon,1,"AKTAVİS İTALİYA SPA, İtaliya",91.2,107.8,2016-11-29
ADRİSİN,ARSENIC ACID + FORMIC ACID + SULFURIC ACID + ARCTIUM LAPPA + ARNICA MONTANA + …,"(15 + 15 + 15 + 15 + 15
+ ...) mq",Tablet,Flakon,50,"BİOLOGİŞE HEİLMİTEL HEL GMBH, Almaniya",9.14,10.97,2018-10-06
ADVAGRAF,TACROLIMUS,"0,5 mq",Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",84.38,100.09,2016-11-29
ADVAGRAF,TACROLIMUS,1 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",153.2,177.42,2016-11-29
ADVAGRAF,TACROLIMUS,3 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",435.16,490.4,2016-11-29
ADVAGRAF,TACROLIMUS,5 mq,Uzunmüddətli təsirli kapsul,Blister,50,"ASTELLAS İRLAND KO LTD, İrlandiya",756.31,846.87,2016-11-29
ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Emulsiya,Tub 20 q,1,"BAYER HELSKEA MANUFAKTURİNQ SRL, İtaliya",7.94,9.53,2016-11-29
ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Məlhəm,Tub 15 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",4.56,5.47,2016-11-29
ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Krem,Tub 15 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",4.56,5.47,2016-11-29
ADVANTAN,METHYLPREDNISOLONE ACEPONATE,1 mq/q,Məlhəm,Tub 50 q,1,"İNTENDİS MANUFAKTURİNQ SPA, İtaliya",14.75,17.7,2016-11-29
AERTAL,ACECLOFENAC,100 mq,Tablet,Blister,20,"GEDEON RİXTER PLC, Macarıstan",6.34,7.61,2016-11-29
AERTAL,ACECLOFENAC,100 mq,Tablet,Blister,60,"GEDEON RİXTER PLC, Macarıstan",14.69,17.63,2016-11-29
AERTAL,ACECLOFENAC,100 mq,Suspenziya hazırlamaq üçün toz,Paket 3 q,20,"İNDASTRİAS FARMASYUTİKALS ALMİRALL SL, İspaniya",9.94,11.93,2017-12-09
AERTAL,ACECLOFENAC,"0,0015 mq",Krem,Tub 60 q,1,"GEDEON RİXTER PLC, Macarıstan",13.76,16.51,2016-11-29
AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,10,"ALTAYVİTAMİNİ QSC, Rusiya",0.79,0.95,2016-11-29
AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,20,"ALTAYVİTAMİNİ QSC, Rusiya",1.59,1.91,2016-11-29
AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,30,"ALTAYVİTAMİNİ QSC, Rusiya",2.38,2.86,2016-11-29
AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,40,"ALTAYVİTAMİNİ QSC, Rusiya",3.97,4.76,2016-11-29
AEVİT,RETINOL PALMITATE (VITAMIN A) + ALFA-TOCOPHEROL ACETATE,1 M IU/ml + 100 mq,Kapsul,Blister,50,"ALTAYVİTAMİNİ QSC, Rusiya",4.96,5.95,2016-11-29
AFALA,AFFINITY PURIFIED ANTIBODY (PROSTATE SPECIFIC ANTIGEN),3 mq,Sorma tablet,Blister,40,"EİŞ MATERİA MEDİKA HOLDİNG MMC, Rusiya",6.81,8.17,2016-11-29
AFALA,AFFINITY PURIFIED ANTIBODY (PROSTATE SPECIFIC ANTIGEN),3 mq,Sorma tablet,Blister,100,"EİŞ MATERİA MEDİKA HOLDİNG MMC, Rusiya",11.01,13.21,2016-11-29
AFİNİTOR,EVEROLIMUS,5 mq,Tablet,Blister,30,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",3824.21,4252.24,2016-11-29
AFİNİTOR,EVEROLIMUS,10 mq,Tablet,Blister,30,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",4063.13,4517.44,2016-11-29
AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 20 ml,1,"RİXARD BİTNER AG, Avstriya",7.74,9.29,2016-11-29
AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 50 ml,1,"RİXARD BİTNER AG, Avstriya",11.29,13.55,2016-11-29
AFLUBİN,ACONITUM + BRYONIA + GENTIANA + ...,"(0,1 + 0,2 + 0,1 + ...)
ml/ml",Məhlul,Flakon 100 ml,1,"RİXARD BİTNER AG, Avstriya",22.39,26.87,2016-11-29
AFOBAZOL,FABOMOTIZOLE,10 mq,Tablet,Blister,60,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",9.37,11.24,2018-05-18
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",0.55,0.66,2016-11-29
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",8.03,9.64,2016-11-29
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",10.63,12.76,2016-11-29
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,1,"KURSK BİOFABRİKİ FDM, Rusiya",0.64,0.77,2016-11-29
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,15,"KURSK BİOFABRİKİ FDM, Rusiya",12.3,14.76,2017-07-15
AFUZİON,SODIUM CHLORIDE + POTASSIUM CHLORIDE + SODIUM ACETATE,(5 + 1 + 2) mq/ml,İnfuziya üçün məhlul,Flakon 400 ml,20,"KURSK BİOFABRİKİ FDM, Rusiya",12.54,15.05,2016-11-29
AKARVİT,LEVOCARNITINE,100 mq/ml,Məhlul,Ampul 10 ml,10,"MİTİM FARMA SRL, İtaliya",8.74,10.49,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,14,"AKTAVİS HF, İslandiya",5.14,6.17,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,14,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",6.68,8.02,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,28,"AKTAVİS HF, İslandiya",7.05,8.46,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,10 mq,Tablet,Blister,28,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",11.96,14.35,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,14,"AKTAVİS HF, İslandiya",7.63,9.16,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,14,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",8.25,9.9,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,28,"AKTAVİS HF, İslandiya",7.86,9.43,2016-11-29
AKİRAB,RABEPRAZOLE SODIUM,20 mq,Tablet,Blister,28,"SPEŞİAL PRODAKTS LAYN SPA, İtaliya",14.35,17.22,2016-11-29
AKİTOR,LATANOPROST,50 mkq/ml,Göz üçün damcı,"Flakon 2,5 ml",1,"FARMASELEKT İNTERNEYŞNL BETEİLLİNQİNQS GMBH, Avstriya",12.11,14.53,2016-11-29
AKKUPRO,QUINAPRIL,10 mq,Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",7.23,8.68,2016-11-29
AKKUPRO,QUINAPRIL,20 mq,Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",10.8,12.96,2016-11-29
AKKUZİD,QUINAPRIL + HYDROCHLOROTHIAZIDE,"(20 + 12,5) mq",Tablet,Blister,30,"FAYZER MANUFAKTURİNQ DOYÇLAND GMBH, Almaniya",8.52,10.22,2016-11-29
AKLASTA,ZOLEDRONIC ACID,"0,05 mq/ml",İnfuziya üçün məhlul,Flakon 100 ml,1,"NOVARTİS FARMA ŞTEYN AG, İsveçrə",243.45,277.6,2017-12-09
AKLİN,CLINDAMYCIN,150 mq,Kapsul,Blister,50,"NOVELL FARMASYUTİKAL LABORATORİES, İndoneziya",11.46,13.75,2016-11-29
AKRİDERM QK,BETAMETHASONE DIPROPIONATE + GENTAMICIN SULFATE + CLOTRIMAZOLE,"(0,64 + 1 + 10) mq/q",Krem,Tub 15 q,1,"AKRİXİN ASC, Rusiya",5.2,6.24,2016-11-29
AKRİDERM SK,BETAMETHASONE DIPROPIONATE + SALICYLIC ACID,"(0,5 + 30) mq",Məlhəm,Tub 15 q,1,"AKRİXİN ASC, Rusiya",2.47,2.96,2016-11-29
AKRİDERM SK,BETAMETHASONE DIPROPIONATE + SALICYLIC ACID,"(0,5 + 30) mq",Məlhəm,Tub 30 q,1,"AKRİXİN ASC, Rusiya",2.62,3.14,2016-11-29
AKSASTROL,ANASTROZOLE,1 mq,Tablet,Blister,28,"REMEDİKA LTD, Kipr",33.03,39.64,2016-11-29
AKSEN FORT,NAPROXEN SODIUM,550 mq,Tablet,Blister,10,"ALİ RAİF İLAÇ SAN AŞ, Türkiyə",2.55,3.06,2016-11-29
AKSSEL EVİLİN FORTE,ALUMINIUM HYDROXIDE + MAGNESIUM HYDROXIDE + SIMETHICONE,"(4 + 4 + 0,4) mq/ml",Suspenziya,Flakon 100 ml,1,"KOTRA FARMA (M) SDN BHD, Malaziya",5.96,7.15,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 4 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",185.14,212.88,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 4 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",185.14,212.88,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 10 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",446.94,503.47,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 10 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",446.94,503.47,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 20 ml,1,"F HOFFMANN-LA ROŞ LTD, İsveçrə",895.28,1001.13,2016-11-29
AKTEMRA,TOCILIZUMAB,20 mq/ml,İnfuziya məhlulu üçün konsentrat,Flakon 20 ml,1,"CHUNGAİ FARMA MANUFAKTURİNG KO LTD, Yaponiya",895.28,1001.13,2016-11-29
AKT-HİB,VACCINE (HAEMOPHILUS INFLUENZAE TYPE B + TETANUS PROTEIN),(10 + 18-30) mkq,İnyeksiya məhlulu üçün liofilizat,"Flakon + Şprisdə həlledici 0,5 ml",1,"SANOFİ PASTER SA, Fransa",20.23,24.28,2016-11-29
AKT-HİB,VACCINE (HAEMOPHILUS INFLUENZAE TYPE B + TETANUS PROTEIN),(10 + 18-30) mkq,İnyeksiya məhlulu üçün liofilizat,"Flakon + Şprisdə həlledici 0,5 ml",10,"SANOFİ PASTER SA, Fransa",185.79,213.6,2016-11-29
AKTİFED,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL,"(60 + 2,5) mq",Tablet,Blister,20,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",2.49,2.99,2016-11-29
AKTİFED,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL,"(6 + 0,25) mq/ml",Şərbət,Flakon 100 ml,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",2.74,3.29,2016-11-29
AKTİHİST,PSEUDOEPHEDRINE HCL + TRIPROLIDINE HCL + GUAIFENESIN,(6 + 25 + 20) mq/ml,Şərbət,Flakon 100 ml,1,"HOVİD BHD, Malaziya",7.31,8.77,2016-11-29
AKTİLİZE,ALTEPLASE,50 mq,İnyeksiya və infuziya məhlulu üçün toz,Flakon + Həlledici 50 ml,1,"BERİNGER İNGELHEİM FARMA GMBH VƏ KO KG, Almaniya",675.69,757.39,2016-11-29
AKTİPOL,AMINOBENZOIC ACID,"0,07 mq/ml",Göz üçün damcı,Flakon 5 ml,1,"MOLEKULYAR DİAQNOSTİKA İNSTİTUTU DİAFARM QSC, Rusiya",7.64,9.17,2016-11-29
AKTİPOL,AMINOBENZOIC ACID,"0,07 mq/ml",Göz üçün damcı,Flakon 5 ml,50,"MOLEKULYAR DİAQNOSTİKA İNSTİTUTU DİAFARM QSC, Rusiya",346.2,391.65,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.13,0.16,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"MEDİSORB QSC, Rusiya",0.13,0.16,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"EİM BORŞAQOVSKİY KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ İSC, Ukrayna",0.13,0.16,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,10,"İRBİT KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ ASC, Rusiya",0.13,0.16,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,30,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.39,0.47,2016-11-29
AKTİVLƏŞDİRİLMİŞ KÖMÜR,ACTIVATED CHARCOAL,250 mq,Tablet,Blister,50,"FARMSTANDART-LEKSREDSTVA ASC, Rusiya",0.64,0.77,2016-11-29
AKTOSEF,CEFTRIAXONE SODIUM,500 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"FİLKO FARMA EK, Almaniya",5.39,6.47,2016-11-29
AKTOSEF,CEFTRIAXONE SODIUM,500 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"HANKUK KORUS FARM KO LTD, Cənubi Koreya",2.57,3.08,2016-11-29
AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"FİLKO FARMA EK, Almaniya",6.24,7.49,2016-11-29
AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,"Flakon + Ampulda həlledici 3,5 ml",1,"ESSETİ FARMASYUTİÇİ SRL, İtaliya",4.59,5.51,2016-11-29
AKTOSEF,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"HANKUK KORUS FARM KO LTD, Cənubi Koreya",4.59,5.51,2016-11-29
AKTOVEGİN,DEPROTEINIZED HEMODERIVATIVE  OF CALF BLOOD,200 mq,Tablet,Flakon,50,"NİKOMED GMBH, Almaniya",43.57,52.28,2016-11-29
